number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,cross_border_indicator,financial_fraud_indicator,property_offence_indicator,organized_operation_indicator,repeat_offender_indicator,social_engineering_indicator,ipc_379,ipc_420,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,fake_call_center_indicator,parallel_telephone_exchange_indicator,bulk_corporate_sim_indicator,forged_company_indicator,voip_calling_indicator,government_telecom_revenue_loss,vishing_indicator,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,multiple_calling_numbers_indicator,it_act_66d,telegraph_act_sections,internet_banking_software_targeted,banking_password_compromised,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,account_frozen_indicator,suspicious_credit_not_reported,bank_correction_request_absent,is_fund_transit_velocity_applicable,fund_transit_velocity_minutes,fan_in_count,fraudulent_website_count,payment_gateway_count,linked_beneficiary_account_count,card_credential_harvesting_indicator,it_act_66,it_act_66c,vehicle_assisted_theft,helmet_concealment_indicator,victim_walking_alone_indicator,victim_approached_from_behind,physical_force_used,stolen_physical_asset_count,stolen_asset_recovered,victim_identification_success,test_identification_parade_validity,reasonable_doubt_identity_gap,ipc_356,ipc_392,ipc_411,ipc_448,ipc_380,network_degree,network_betweenness,topological_kingpin_score,court_level_High Court,court_level_Supreme Court,court_level_Trial Court,case_type_Sec 439 CrPC (Regular Bail),case_type_Sec 482 CrPC (Quashing),case_type_Trial Judgment,case_type_Writ Petition (Detention),label_entity_role,label_high_risk_cyber_syndicate,label_bail_or_custody_relief,label_conviction_outcome
1,24,84,1,0,1,0,1,1,0,0,1,1,0.6415,1,135,1,0,0,0,0,0,0,0,0,0.0768,1,1.0042,107.37,0,0,0,1,1,683857.41,0.6609,1,1,1,1,1.51,23,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0.1804,0.0752,1,0,0,0,1,0,0,3,1,0,1
1,1,2,0,0,0,0,0,0,0,0,0,0,0.2496,0,36,0,0,0,0,0,0,0,0,0,0.0,8,1.0757,123.38,0,0,0,0,0,0.0,0.1885,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.0704,0.0508,0,0,1,0,1,0,0,0,0,1,0
1,5,1,0,0,1,1,1,1,1,1,1,0,0.5934,1,140,1,1,0,0,0,0,0,0,0,0.0921,3,1.1553,121.61,0,0,0,0,0,125957.69,0.1179,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,30,0.1511,0.044,1,0,0,0,0,1,0,4,0,1,0
1,4,1,0,0,0,0,0,0,0,0,0,0,0.1754,0,8,0,1,0,0,0,0,0,0,0,0.0267,7,1.1834,114.56,0,0,0,0,0,0.0,0.12,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0.0205,0.0186,0,0,1,1,0,0,0,0,0,1,0
1,1,2,0,0,1,1,0,1,1,1,1,1,0.9127,1,124,0,0,0,0,0,0,0,0,0,0.0873,9,1.0,79.28,0,0,0,0,0,139183.79,0.0231,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0.0294,0.0268,0,0,1,1,0,0,0,2,0,1,1
1,4,2,0,0,0,0,0,0,0,0,0,0,0.1876,0,39,1,0,0,0,0,0,0,0,0,0.0065,3,1.033,92.46,0,0,0,0,0,0.0,0.0237,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.041,0.0296,0,0,1,0,1,0,0,0,0,1,0
2,19,81,1,0,1,0,1,0,0,0,1,1,0.8024,1,86,1,1,0,0,0,0,0,0,0,0.1061,2,1.2436,125.2,0,0,0,1,1,1051532.96,0.9646,1,1,1,1,14.49,13,0,0,13,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.6471,0.589,1,0,0,0,1,0,0,1,1,0,1
15,16,37,1,0,1,0,1,1,0,0,1,1,0.6417,1,46,1,1,0,0,0,0,0,0,0,0.1073,1,1.2652,168.77,0,0,0,1,1,14928096.76,0.662,1,1,1,1,28.09,3,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0.0936,0.0426,1,0,0,0,0,0,1,3,1,0,1
2,5,1,0,0,0,1,0,0,0,1,0,1,0.6095,1,159,0,1,0,0,0,0,0,0,0,0.0331,9,1.1894,136.57,0,0,0,0,0,10790.24,0.1607,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,1,1,1,0,0,0,3,0.0248,0.0179,0,0,1,0,1,0,0,2,0,1,0
7,1,1,0,0,0,0,0,0,0,0,0,0,0.2005,0,3,1,1,0,0,0,0,0,0,0,0.0421,2,1.1891,81.83,0,0,0,0,0,0.0,0.1104,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0.0763,0.0694,0,0,1,0,1,0,0,0,0,1,0
2,25,7,1,0,1,0,1,1,0,0,1,1,0.4572,0,67,0,0,0,0,0,0,0,0,0,0.0757,7,1.0566,98.42,0,0,0,1,1,14769642.36,0.9089,1,1,1,1,4.9,21,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.441,0.4014,1,0,0,0,0,1,0,1,1,1,0
1,2,2,0,0,1,1,1,0,1,1,1,1,0.4016,1,172,0,0,0,0,0,0,0,0,0,0.0445,3,1.1096,167.33,0,1,0,0,0,99494.73,0.1568,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0.0177,0.011,0,0,1,0,0,0,1,2,0,1,0
2,4,83,1,0,1,0,1,0,0,0,1,1,0.7184,1,84,1,1,0,0,0,0,0,0,0,0.0613,3,1.1318,51.17,0,0,0,1,1,8903381.68,0.7901,1,1,1,1,7.47,16,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0.2331,0.0754,0,0,1,1,0,0,0,4,1,0,1
1,5,1,0,0,1,1,1,0,1,1,1,0,0.7879,1,163,0,1,0,0,0,0,0,0,0,0.0818,5,1.2289,163.93,0,0,0,0,0,51182.06,0.1875,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,32,0.2685,0.0768,0,0,1,0,0,0,1,4,0,1,1
2,2,1,0,0,0,0,0,0,0,0,0,0,0.2082,1,32,1,1,0,0,0,0,0,0,0,0.023,3,1.0881,71.13,0,0,0,0,0,0.0,0.0713,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.0724,0.0523,0,0,1,0,0,1,0,0,0,1,0
4,1,2,0,0,0,1,0,0,0,1,0,1,0.4658,1,45,0,1,0,0,0,0,0,0,0,0.1124,3,1.0,172.4,0,0,0,0,0,7282.93,0.1268,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,1,1,0,0,0,1,1,0.0562,0.0811,0,0,1,0,1,0,0,2,0,1,0
15,17,20,0,0,1,0,1,0,0,0,1,1,0.5514,1,87,1,0,0,0,0,0,0,0,0,0.0,6,1.2559,76.73,0,0,0,1,1,11258638.88,0.8379,1,1,1,1,15.43,12,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0.2633,0.0929,1,0,0,1,0,0,0,4,1,0,0
4,20,34,1,0,1,0,1,0,1,0,1,1,0.9536,1,136,1,1,1,0,0,0,1,0,1,0.6259,65,6.9976,77.21,1,1,0,0,0,2317728.35,0.1587,1,0,0,1,12.79,0,1,2,6,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,24,0.2127,0.0661,1,0,0,1,0,0,0,4,1,0,1
1,2,2,0,0,0,1,0,1,0,1,0,0,0.7231,1,100,0,1,0,0,0,0,0,0,0,0.1009,2,1.0285,65.34,0,0,0,0,0,15099.32,0.0317,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,0,0,1,1,1,0,0,0,1,0.097,0.14,0,0,1,1,0,0,0,2,0,1,0
1,2,1,0,0,1,1,1,0,1,1,1,1,0.6533,1,20,0,0,0,0,0,0,0,0,0,0.0226,6,1.1728,46.25,0,0,0,0,0,89920.09,0.1392,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0.1103,0.0479,1,0,0,0,0,0,1,5,0,1,0
1,4,1,0,0,0,1,0,0,0,1,0,1,0.6418,1,42,1,0,0,0,0,0,0,0,0,0.1271,3,1.0,33.85,0,0,0,0,0,9649.04,0.1078,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,3,1,0,0,1,1,0,0,0,0,3,0.0785,0.0566,0,0,1,0,1,0,0,2,0,1,0
21,7,29,1,0,1,0,1,0,1,0,1,1,0.669,1,157,0,0,1,0,1,1,0,0,1,0.9155,108,6.8086,296.96,1,1,0,0,0,4199118.78,0.0356,1,0,0,1,13.88,0,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0.1156,0.0465,0,1,0,1,0,0,0,3,1,0,0
7,2,1,0,0,1,1,1,1,1,1,1,0,0.4505,1,136,0,0,0,0,0,0,0,0,0,0.0961,6,1.1634,151.43,0,0,0,0,0,104063.04,0.0795,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.05,0.0721,0,0,1,0,0,0,1,2,0,1,0
1,24,49,1,0,1,0,1,1,0,0,1,1,0.7474,1,169,1,0,0,1,1,1,1,1,0,0.5206,417,7.5531,81.6,1,1,1,0,0,1986310.85,0.0458,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0.2026,0.0701,1,0,0,1,0,0,0,4,1,1,1
1,5,2,0,0,1,1,0,0,1,1,1,0,0.6186,1,160,1,1,0,0,0,0,0,0,0,0.0528,4,1.0749,56.39,0,0,0,0,0,113672.87,0.1491,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,38,0.2223,0.0607,0,0,1,0,0,0,1,4,0,1,0
1,1,2,0,0,1,1,0,1,1,1,1,1,0.6514,1,66,0,1,0,0,0,0,0,0,0,0.0896,9,1.2739,128.2,0,0,0,0,0,143385.27,0.012,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0898,0.1295,0,0,1,1,0,0,0,2,0,1,0
4,3,82,1,0,1,0,1,1,0,0,1,1,0.9394,1,29,0,0,0,0,0,0,0,0,0,0.1428,1,1.3193,138.1,0,0,0,1,1,12229383.13,0.5642,1,1,1,1,47.4,15,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0.1634,0.0565,1,0,0,1,0,0,0,4,1,0,1
7,5,1,0,0,0,1,0,0,0,1,0,1,0.6382,1,150,0,1,0,0,0,0,0,0,0,0.1472,2,1.283,75.98,0,0,0,0,0,5457.02,0.0953,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,1,1,0,0,0,1,0,0,3,0.041,0.0296,1,0,0,0,0,0,1,2,0,0,0
21,1,2,0,0,0,0,0,0,0,0,0,0,0.3161,0,33,0,0,0,0,0,0,0,0,0,0.1096,2,1.1424,76.28,0,0,0,0,0,0.0,0.0161,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0277,0.04,0,0,1,0,1,0,0,0,0,1,0
4,3,2,0,0,0,0,0,0,0,0,0,0,0.1184,0,36,1,1,0,0,0,0,0,0,0,0.0728,8,1.0,39.84,0,0,0,0,0,0.0,0.0342,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.0951,0.0686,1,0,0,0,1,0,0,0,0,1,0
2,18,51,0,0,1,0,1,1,0,0,1,1,0.6236,1,175,0,0,0,1,1,1,1,1,0,0.7017,181,5.5698,33.28,1,1,1,0,0,1650088.94,0.0522,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0.196,0.0892,0,1,0,1,0,0,0,3,1,0,0
1,14,46,0,1,1,0,1,0,0,0,1,1,0.5495,1,209,1,1,0,1,1,1,1,1,0,0.8788,253,7.1202,48.69,1,1,1,0,0,477347.16,0.1763,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.6174,0.562,1,0,0,1,0,0,0,1,1,1,0
1,5,1,0,0,0,0,0,0,0,0,0,0,0.1838,0,1,0,0,0,0,0,0,0,0,0,0.0353,8,1.0892,48.06,0,0,0,0,0,0.0,0.1751,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0.0908,0.0827,0,0,1,0,0,1,0,0,0,1,0
2,1,2,0,0,0,1,1,1,0,1,0,1,0.4142,1,66,0,1,0,0,0,0,0,0,0,0.0895,5,1.1997,97.36,0,0,0,0,0,41143.65,0.0445,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,1,1,1,0,0,0,3,0.0946,0.0683,1,0,0,0,0,0,1,2,0,1,0
2,2,2,0,0,0,1,1,1,0,1,0,1,0.718,1,65,0,0,0,0,0,0,0,0,0,0.0261,5,1.3293,136.1,0,0,0,0,0,5587.88,0.1223,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,0,0,1,0,1,0,0,0,1,0.0672,0.0969,0,0,1,0,0,1,0,2,0,1,0
7,3,1,0,0,1,1,0,0,1,1,1,0,0.7695,1,37,1,1,0,0,0,0,0,0,0,0.0374,9,1.0,58.78,0,0,0,0,0,120561.38,0.1117,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0.2237,0.0933,0,0,1,0,0,0,1,5,0,1,1
2,16,5,1,0,1,0,1,1,0,0,1,1,0.4936,1,100,1,1,0,0,0,0,0,0,0,0.0938,8,1.0,35.79,0,0,0,1,1,9587095.86,0.2186,1,1,1,1,2.69,22,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.4686,0.4265,0,0,1,1,0,0,0,1,1,0,0
1,1,1,0,0,0,1,0,0,0,1,0,0,0.5552,1,163,1,0,0,0,0,0,0,0,0,0.0641,7,1.0468,100.13,0,0,0,0,0,5600.1,0.1089,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,1,0,0,1,1,0,0,4,0.0248,0.0154,1,0,0,0,0,1,0,2,0,0,0
1,19,32,1,0,1,0,1,0,0,0,1,1,0.6716,1,124,1,0,0,1,1,1,1,1,0,0.6729,286,12.4461,29.65,1,1,1,0,0,1117308.36,0.0214,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0.192,0.0987,1,0,0,0,0,0,1,3,1,0,1
21,3,1,0,0,0,0,0,0,0,0,0,0,0.1322,1,6,0,0,0,0,0,0,0,0,0,0.0415,1,1.1538,65.95,0,0,0,0,0,0.0,0.0681,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0.0734,0.0668,0,0,1,0,0,1,0,0,0,1,0
4,4,2,0,0,0,0,0,0,0,0,0,0,0.2874,0,6,0,0,0,0,0,0,0,0,0,0.0738,4,1.1897,164.44,0,0,0,0,0,0.0,0.0439,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.0438,0.0316,0,0,1,0,0,1,0,0,0,1,0
1,3,37,1,0,1,0,1,0,1,0,1,1,0.8479,1,113,1,1,1,0,1,0,1,0,1,0.6633,141,5.4691,49.24,1,1,0,0,0,4182692.56,0.1466,1,0,0,1,2.88,0,1,4,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,0.2253,0.065,1,0,0,0,1,0,0,4,1,0,1
7,1,1,0,0,0,1,0,1,0,1,0,0,0.8427,1,51,0,1,0,0,0,0,0,0,0,0.1006,3,1.0806,114.36,0,0,0,0,0,13924.76,0.1275,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0.0425,0.0613,0,0,1,1,0,0,0,2,0,1,0
4,16,41,1,0,1,0,1,0,0,0,1,1,0.7644,1,57,1,1,0,0,0,0,0,0,0,0.0076,5,1.0,112.8,0,0,0,1,1,7887614.04,0.2836,1,1,1,1,6.91,6,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.6068,0.4377,0,0,1,0,0,1,0,1,1,0,1
1,17,76,1,0,1,0,1,0,0,0,1,1,0.9203,1,276,1,1,0,1,1,1,1,1,0,0.7413,182,8.942,53.23,1,1,1,0,0,1955407.47,0.0658,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0.0852,0.0272,1,0,0,1,0,0,0,4,1,1,1
1,3,2,0,0,0,1,0,1,0,1,0,0,0.5911,1,33,0,0,0,0,0,0,0,0,0,0.0839,9,1.1755,75.31,0,0,0,0,0,35055.15,0.078,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,3,1,0,0,1,1,0,1,0,0,4,0.0419,0.026,0,0,1,0,1,0,0,2,0,1,0
2,2,2,0,0,0,1,0,1,0,1,0,0,0.961,1,94,0,0,0,0,0,0,0,0,0,0.0309,3,1.1695,177.72,0,0,0,0,0,26295.52,0.0606,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,1,1,1,0,0,1,3,0.0464,0.0335,0,0,1,0,0,1,0,2,0,1,0
2,2,1,0,0,0,0,0,0,0,0,0,0,0.2861,0,33,1,1,0,0,0,0,0,0,0,0.0498,2,1.0,71.61,0,0,0,0,0,0.0,0.1763,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0342,0.0493,0,0,1,0,1,0,0,0,0,1,0
2,25,78,1,1,1,0,1,1,0,0,1,1,0.7804,1,122,1,1,0,1,1,1,1,1,0,0.7801,103,8.3525,50.2,1,1,1,0,0,1711670.75,0.0324,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0.209,0.0738,1,0,0,1,0,0,0,4,1,0,1
1,14,33,1,0,1,0,1,1,0,0,1,1,0.5085,1,18,1,1,0,0,0,0,0,0,0,0.0134,9,1.267,127.84,0,0,0,1,1,11674838.21,0.3758,1,1,1,1,19.4,7,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0.2903,0.1025,0,1,0,1,0,0,0,4,1,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0.2366,1,22,1,1,0,0,0,0,0,0,0,0.0149,3,1.193,73.78,0,0,0,0,0,0.0,0.0409,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0893,0.1288,0,0,1,0,1,0,0,0,0,1,0
1,19,78,1,0,1,0,1,1,0,0,1,1,0.748,1,141,1,1,0,1,1,1,1,1,0,0.6704,197,3.6524,52.87,1,1,1,0,0,374535.83,0.1614,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.5585,0.5084,1,0,0,1,0,0,0,1,1,1,1
7,11,41,0,0,1,0,1,0,1,0,1,1,0.876,1,157,1,1,1,0,1,1,1,0,1,0.6998,102,5.5235,267.58,1,1,0,0,0,349417.61,0.072,1,0,0,1,20.35,0,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0.1621,0.0676,1,0,0,1,0,0,0,5,1,0,1
2,5,65,1,0,1,0,1,1,1,0,1,1,0.8219,1,13,1,0,1,0,1,0,0,0,1,0.5678,54,5.8693,211.86,1,1,0,0,0,2659110.53,0.1476,1,0,0,1,23.91,0,5,4,7,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27,0.3157,0.0947,1,0,0,1,0,0,0,4,1,0,1
1,4,1,0,0,1,1,0,1,1,1,1,1,0.5331,1,67,1,1,0,0,0,0,0,0,0,0.0189,3,1.0,111.73,0,1,0,0,0,144791.39,0.0395,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0.2305,0.1432,0,0,1,1,0,0,0,5,0,1,0
1,14,12,0,0,1,0,1,0,1,0,1,1,0.6456,1,123,1,1,1,0,1,1,1,0,1,0.6869,69,7.5364,299.26,1,1,0,0,0,1649173.29,0.096,0,0,0,1,6.71,0,4,4,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,0.1442,0.0381,1,0,0,1,0,0,0,4,1,1,1
4,15,5,1,0,1,0,1,0,0,0,1,1,0.7034,1,74,1,1,0,0,0,0,0,0,0,0.0617,5,1.1072,90.02,0,0,0,1,1,11495501.09,0.3313,1,1,1,1,8.56,12,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.4683,0.6756,1,0,0,1,0,0,0,1,1,0,1
1,4,67,1,0,1,0,1,1,0,0,1,1,0.4628,1,154,1,1,0,1,1,1,1,1,0,0.695,171,5.5842,87.8,1,1,1,0,0,57470.94,0.0514,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0.0753,0.0387,0,0,1,1,0,0,0,3,1,1,0
1,5,2,0,0,0,0,0,0,0,0,0,0,0.3729,1,6,0,0,0,0,0,0,0,0,0,0.0989,6,1.1529,135.91,0,0,0,0,0,0.0,0.1062,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0368,0.0229,0,0,1,0,1,0,0,0,0,1,0
1,24,67,1,0,1,0,1,0,1,0,1,1,0.8756,1,157,1,1,1,0,1,0,0,0,1,0.7532,122,5.3353,210.42,1,1,0,0,0,3277748.51,0.0063,0,0,0,1,10.73,0,1,1,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,35,0.2943,0.0821,1,0,0,1,0,0,0,4,1,1,1
7,17,55,1,0,1,0,1,1,0,0,1,1,0.9314,1,126,0,0,0,1,1,1,1,1,0,0.4817,443,13.7221,78.13,1,1,1,0,0,1651945.26,0.1395,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0.0973,0.0406,1,0,0,1,0,0,0,3,1,1,0
1,4,56,1,1,1,0,1,1,0,0,1,1,0.885,1,235,1,1,0,1,1,1,1,1,0,0.6295,134,6.363,47.44,1,1,1,0,0,86382.78,0.0096,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,0.1086,0.0284,1,0,0,1,0,0,0,4,1,1,1
7,7,26,1,1,1,0,1,0,0,0,1,1,0.6467,1,278,1,1,0,1,1,1,1,1,0,0.7423,341,8.6411,15.38,1,1,1,0,0,406213.05,0.1461,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0.1906,0.098,1,0,0,0,1,0,0,3,1,1,0
4,23,92,1,0,1,0,1,0,0,0,1,1,0.6534,1,28,0,1,0,0,0,0,0,0,0,0.0,6,1.1059,137.62,0,0,0,1,1,11429598.78,0.2626,1,1,1,1,31.0,9,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6582,0.9496,0,0,1,1,0,0,0,1,1,0,1
1,4,1,0,0,1,1,0,0,1,1,1,1,0.6943,1,64,0,0,0,0,0,0,0,0,0,0.1563,9,1.1176,79.59,0,0,0,0,0,79851.25,0.1715,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.083,0.0756,0,0,1,0,0,1,0,2,0,1,0
2,11,69,1,0,1,0,1,1,1,0,1,1,0.4517,1,78,1,1,1,0,1,0,1,0,1,0.8695,141,6.4569,101.59,1,1,0,0,0,3756490.48,0.0704,1,0,0,1,6.38,0,3,3,10,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,24,0.1301,0.0404,1,0,0,0,0,0,1,4,1,1,0
1,2,2,0,0,0,1,0,1,0,1,0,0,0.6994,0,151,0,0,0,0,0,0,0,0,0,0.1231,6,1.2753,100.03,0,0,0,0,0,40653.53,0.1062,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,1,1,1,1,0,1,1,0.024,0.0347,0,0,1,1,0,0,0,2,0,1,0
2,16,50,1,0,1,0,1,0,1,0,1,1,0.4118,1,10,1,1,1,0,1,0,1,0,1,0.5893,56,7.423,238.41,1,1,0,0,0,1864327.85,0.0734,1,0,0,1,1.8,0,2,4,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0.2522,0.0804,0,0,1,1,0,0,0,4,1,0,0
1,15,47,1,0,1,0,1,1,1,0,1,1,0.7147,1,65,1,1,1,0,1,1,1,0,1,0.7817,122,3.8524,157.64,1,1,0,0,0,1887290.33,0.089,0,0,0,1,8.51,0,1,2,7,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0.1666,0.0723,1,0,0,0,1,0,0,3,1,1,1
1,6,18,0,0,1,0,1,1,0,0,1,1,0.7011,1,291,0,0,0,1,1,1,1,1,0,0.746,281,12.2065,44.2,1,1,1,0,0,1236216.9,0.0312,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0.2132,0.1325,1,0,0,1,0,0,0,3,1,1,0
2,4,1,0,0,0,0,0,0,0,0,0,0,0.3726,0,33,1,1,0,0,0,0,0,0,0,0.0477,9,1.1961,92.26,0,0,0,0,0,0.0,0.0544,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0605,0.0872,0,0,1,0,0,0,1,0,0,1,0
1,10,77,1,0,1,0,1,0,0,0,1,1,0.5138,1,192,0,0,0,1,1,1,1,1,0,0.775,425,6.0623,61.19,1,1,1,0,0,1589186.73,0.0209,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0.2155,0.1203,1,0,0,0,1,0,0,3,1,1,0
27,25,14,1,0,1,0,1,1,0,0,1,1,0.6872,1,134,1,1,0,0,0,0,0,0,0,0.0567,1,1.0557,97.36,0,0,0,1,1,12596711.45,0.5605,1,1,1,1,16.62,13,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0.1135,0.0393,0,1,0,1,0,0,0,4,1,0,1
